This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Account Statement for D-######## (margin) since 4/26/22 through 4/26/22

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
4/26/22,01:00:00,BAL,,Cash balance at the start of business day 26.04 CST,,,,"5,003.76"
4/26/22,09:29:16,TRD,1468475970,tIP BOT +1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13450 CALL @140.50,-0.56,-2.25,"-2,810.00","2,190.95"
4/26/22,09:32:19,TRD,1468485675,tIP SOLD -1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13450 CALL @122.50,-0.56,-2.25,"2,450.00","4,638.14"
4/26/22,09:32:47,TRD,1468488053,tIP BOT +1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13440 PUT @169.50,-0.56,-2.25,"-3,390.00","1,245.33"
4/26/22,09:33:45,TRD,1468492024,tIP SOLD -1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13440 PUT @184.00,-0.56,-2.25,"3,680.00","4,922.52"
4/26/22,10:14:14,TRD,1468642572,tIP BOT +1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13230 PUT @162.25,-0.56,-2.25,"-3,245.00","1,674.71"
4/26/22,10:19:02,TRD,1468660322,tIP SOLD -1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13230 PUT @177.50,-0.56,-2.25,"3,550.00","5,221.90"
4/26/22,11:36:17,TRD,1468814966,tIP BOT +1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13130 CALL @154.00,-0.56,-2.25,"-3,080.00","2,139.09"
4/26/22,11:37:35,TRD,1468817762,tIP SOLD -1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13130 CALL @152.25,-0.56,-2.25,"3,045.00","5,181.28"
4/26/22,11:38:03,TRD,1468817778,tIP BOT +1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13110 PUT @158.00,-0.56,-2.25,"-3,160.00","2,018.47"
4/26/22,11:39:17,TRD,1468819958,tIP SOLD -1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13110 PUT @153.25,-0.56,-2.25,"3,065.00","5,080.66"
4/26/22,11:39:40,TRD,1468819975,tIP BOT +1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13130 CALL @161.00,-0.56,-2.25,"-3,220.00","1,857.85"
4/26/22,11:40:58,TRD,1468822233,tIP SOLD -1 /NQM22:XCME 1/20 APR 22 (Wednesday) (Wk5) /Q4CJ22:XCME 13130 CALL @155.50,-0.56,-2.25,"3,110.00","4,965.04"
